Row Labels,Sum of TOTAL
SPRINGFIELD,2141871
IL,4
MA,2132162
MO,190
OH,9513
VA,2
PRESCOTT,902549
AZ,902549
NEWPORT,716649
NH,716629
VT,20
ILION,638168
NY,638168
NEWINGTON,632970
NH,632970
EAGLE PASS,489153
TX,489153
HEBRON,457429
KY,457429
HUNTSVILLE,419656
AL,419440
AR,183
TX,33
MAYODAN,388549
NC,388549
SMYRNA,368140
GA,368140
WESTFIELD,328048
MA,328048
MIAMI,325394
FL,325394
BAYONNE,258452
NJ,258452
YONKERS,234864
NY,234864
WEST HARTFORD,189440
CT,189440
STURGIS,185161
SD,185161
DAYTONA BEACH,161641
FL,161641
GENESEO,160707
IL,160707
MANSFIELD,149634
OH,149626
TX,8
GEORGIA,145657
VT,145657
WEST COLUMBIA,128288
SC,128288
LUDLOW,113626
MA,113626
APOPKA,102642
FL,102642
COCOA,97134
FL,97134
DERRY,90414
NH,90414
TACOMA,86536
WA,86536
SUMMERVILLE,84401
SC,84401
ACCOKEEK,71589
MD,71589
WINDHAM,65104
ME,65094
OH,10
PROVO,63564
UT,63564
SALT LAKE CITY,57378
UT,57378
NEW BRITAIN,53641
CT,53641
ROCHESTER,51255
NH,51242
NY,13
RIDGELAND,49926
SC,49926
MILTON,49429
PA,49419
VT,10
WORCESTER,49360
MA,49360
SHELTON,43581
CT,43581
ONTARIO,41996
CA,41996
BRECKENRIDGE,40894
TX,40894
HENDERSON,37054
NV,37045
TX,9
ELIZABETHTOWN,34397
KY,19
NC,34355
PA,23
LIMA,32401
OH,32401
NORTH LAS VEGAS,28722
NV,28722
MIDDLETOWN,28206
PA,28206
RICE LAKE,27581
WI,27581
COLONA,24683
IL,24683
GALION,24100
OH,24100
CAMBRIDGE,23960
MD,23960
PLACENTIA,23327
CA,23327
PHOENIX,20566
AZ,20566
GRANBURY,20114
TX,20114
NORTH HAVEN,19313
CT,19313
PILLAGER,19030
MN,19030
LOGAN,18886
NM,14
OH,486
UT,18386
PALM BAY,17543
FL,17543
DYERSBURG,16632
TN,16632
BOONVILLE,16068
MO,16068
SAN DIEGO,15542
CA,15542
STAFFORD,15256
TX,15256
NEOSHO,14963
MO,14963
BERRYVILLE,14263
AR,14263
BELGRADE,13500
MT,13500
WALLINGFORD,12523
CT,12523
ALEXANDRIA,10765
MN,10765
NORWICH,10144
NY,10144
CHESAPEAKE,9799
VA,9799
CLEVELAND,9535
GA,5
OH,9530
LEWISTON,9159
ID,9159
ODESSA,8802
FL,8802
BOISE,8754
ID,8754
WEST SPRINGFIELD,8480
MA,8480
GEORGETOWN,8406
DE,48
LA,6
TX,8352
CENTRALIA,8154
IL,1
WA,8153
WHEELING,7250
IL,7250
LAKE HAVASU CITY,7214
AZ,7214
GAINESVILLE,7170
GA,7170
MURFREESBORO,6576
TN,6576
FORT SMITH,6401
AR,6401
HARTLAND,6325
WI,6325
MILAN,4757
IL,4757
NORTH BRANCH,4596
MN,4596
COMER,4591
GA,4591
VERNONIA,4277
OR,4277
RICHLAND,4173
IA,8
WA,4165
SPRING,3957
TX,3957
BREMEN,3795
IN,3795
PASO ROBLES,3775
CA,3775
EDINA,3501
MN,3501
GUNNISON,3481
UT,3481
LAKE BARRINGTON,3469
IL,3469
CARROLL,3226
IA,3226
TUCSON,3060
AZ,3060
ARNOLD,3020
CA,2
MO,3018
DES PLAINES,2927
IL,2927
EPHRATA,2596
PA,2596
LE CLAIRE,2552
IA,2552
KALISPELL,2475
MT,2475
GRANTS PASS,2261
OR,2261
BLAINE,2258
MN,2258
WASHINGTON,2232
MO,24
UT,2208
HAYS,2232
KS,2232
COLUMBIA FALLS,2224
MT,2224
PRIEST RIVER,2196
ID,2196
MOUNT ORAB,2159
OH,2159
MOUNT PLEASANT,2151
SC,2151
TITUSVILLE,2105
FL,2105
FLORAL PARK,2103
NY,2103
BESSEMER,2062
AL,2062
GARLAND,2060
TX,2060
SOUTHWICK,1994
MA,1994
OLYMPIA,1981
WA,1981
WOLCOTT,1954
VT,1954
MOUNT VERNON,1927
MO,1927
STEVENSVILLE,1923
MT,1923
LEANDER,1908
TX,1908
OAKDALE,1808
NY,1808
WINCHESTER,1797
CA,5
KY,1783
NH,6
VA,3
REINHOLDS,1694
PA,1694
BEND,1634
OR,1634
WOODLAND,1598
CA,1598
CARPENTERSVILLE,1566
IL,1566
LINCOLN,1556
RI,1556
SAVAGE,1519
MD,1518
MN,1
WEST MELBOURNE,1483
FL,1483
PERRY,1482
FL,66
MO,1406
UT,10
EXETER,1463
CA,7
NH,1456
OLATHE,1390
KS,1390
DUCKTOWN,1360
TN,1360
BURGAW,1344
NC,1344
LEXINGTON,1304
KY,1
NC,1
SC,3
TN,1299
APEX,1301
NC,1301
WILLIAMSPORT,1294
PA,1294
LAWRENCEVILLE,1268
GA,1268
WEST VALLEY CITY,1246
UT,1246
MERLIN,1141
OR,1141
NAMPA,1121
ID,1121
UPPER SANDUSKY,1078
OH,1078
RADFORD,1077
VA,1077
CODY,1045
WY,1045
PRAGUE,1041
OK,1041
DULUTH,1030
MN,1030
BROKEN ARROW,991
OK,991
MONTEZUMA,951
IA,951
MESA,918
AZ,918
LAS VEGAS,915
NV,915
CLARKSBURG,850
WV,850
MARTINSBURG,849
WV,849
MINDEN,844
NV,844
PLEASANT GROVE,836
UT,836
MELBOURNE,830
FL,830
CLAREMONT,814
NH,814
